"","name","label","concept","desc"
"23","B24011_023","Estimate!!Total!!Service occupations!!Food preparation and serving related occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Food preparation and serving related occupations"
"24","B24011_024","Estimate!!Total!!Service occupations!!Building and grounds cleaning and maintenance occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Building and grounds cleaning and maintenance occupations"
"25","B24011_025","Estimate!!Total!!Service occupations!!Personal care and service occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Personal care and service occupations"
"26","B24011_026","Estimate!!Total!!Sales and office occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Sales and office occupations"
"27","B24011_027","Estimate!!Total!!Sales and office occupations!!Sales and related occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Sales and related occupations"
"28","B24011_028","Estimate!!Total!!Sales and office occupations!!Office and administrative support occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Office and administrative support occupations"
"29","B24011_029","Estimate!!Total!!Natural resources construction and maintenance occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Natural resources construction and maintenance occupations"
"30","B24011_030","Estimate!!Total!!Natural resources construction and maintenance occupations!!Farming fishing and forestry occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Farming fishing and forestry occupations"
"31","B24011_031","Estimate!!Total!!Natural resources construction and maintenance occupations!!Construction and extraction occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Construction and extraction occupations"
"32","B24011_032","Estimate!!Total!!Natural resources construction and maintenance occupations!!Installation maintenance and repair occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Installation maintenance and repair occupations"
"33","B24011_033","Estimate!!Total!!Production transportation and material moving occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Production transportation and material moving occupations"
"34","B24011_034","Estimate!!Total!!Production transportation and material moving occupations!!Production occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Production occupations"
"35","B24011_035","Estimate!!Total!!Production transportation and material moving occupations!!Transportation occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Transportation occupations"
"36","B24011_036","Estimate!!Total!!Production transportation and material moving occupations!!Material moving occupations","OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","Material moving occupations"
